label,random_init,joint,n_blocks,L,modulus_type,mixing_horizon,l2_penalty,actual_train_samples,head_acc,finetune_acc,finetune_gain,joint_acc,filter_delta_relative,n_params_extractor,n_params_classifier
3b_cmod_4L_rand_s1,True,True,3,4,complex_modulus,,0.0,5000,,,,69.08,,1318287,60760
3b_cmod_4L_s1,False,False,3,4,complex_modulus,,0.0,5000,62.43,74.23,11.8,,0.3991,1318287,60760
3b_cmod_4L_s1_l2,False,False,3,4,complex_modulus,,0.005,5000,62.5,73.44,10.94,,0.3351,1318287,60760
3b_cmod_6L_rand_s1,True,True,3,6,complex_modulus,,0.0,5000,,,,63.67,,7169187,166708
3b_cmod_6L_s1,False,False,3,6,complex_modulus,,0.0,5000,63.46,73.69,10.23,,0.5096,7169187,166708
3b_cmod_6L_s1_l2,False,False,3,6,complex_modulus,,0.005,5000,63.47,73.96,10.49,,0.356,7169187,166708
3b_cmod_8L_rand_s1,True,True,3,8,complex_modulus,,0.0,5000,,,,67.83,,25409487,354304
3b_cmod_8L_s1,False,False,3,8,complex_modulus,,0.0,5000,63.64,70.92,7.28,,0.7159,25409487,354304
3b_cmod_8L_s1_l2,False,False,3,8,complex_modulus,,0.005,5000,64.08,71.15,7.07,,0.4037,25409487,354304
3b_cmod_4L_rand_s3,True,True,3,4,complex_modulus,,0.0,15000,,,,79.84,,1318287,60760
3b_cmod_4L_s3,False,False,3,4,complex_modulus,,0.0,15000,65.95,80.5,14.55,,0.7368,1318287,60760
3b_cmod_4L_s3_l2,False,False,3,4,complex_modulus,,0.005,15000,65.83,80.36,14.53,,0.4763,1318287,60760
3b_cmod_6L_rand_s3,True,True,3,6,complex_modulus,,0.0,15000,,,,80.65,,7169187,166708
3b_cmod_6L_s3,False,False,3,6,complex_modulus,,0.0,15000,67.6,80.37,12.77,,0.9592,7169187,166708
3b_cmod_6L_s3_l2,False,False,3,6,complex_modulus,,0.005,15000,67.51,80.22,12.71,,0.3906,7169187,166708
3b_cmod_8L_rand_s3,True,True,3,8,complex_modulus,,0.0,15000,,,,80.89,,25409487,354304
3b_cmod_8L_s3,False,False,3,8,complex_modulus,,0.0,15000,68.23,78.83,10.6,,1.3903,25409487,354304
3b_cmod_8L_s3_l2,False,False,3,8,complex_modulus,,0.005,15000,68.08,80.39,12.31,,0.365,25409487,354304
3b_cmod_4L_rand_s5,True,True,3,4,complex_modulus,,0.0,25000,,,,82.75,,1318287,60760
3b_cmod_4L_s5,False,False,3,4,complex_modulus,,0.0,25000,67.51,83.02,15.51,,1.0092,1318287,60760
3b_cmod_4L_s5_l2,False,False,3,4,complex_modulus,,0.005,25000,67.52,82.81,15.29,,0.5069,1318287,60760
3b_cmod_6L_rand_s5,True,True,3,6,complex_modulus,,0.0,25000,,,,83.72,,7169187,166708
3b_cmod_6L_s5,False,False,3,6,complex_modulus,,0.0,25000,69.15,82.31,13.16,,1.4909,7169187,166708
3b_cmod_6L_s5_l2,False,False,3,6,complex_modulus,,0.005,25000,68.98,82.06,13.08,,0.3864,7169187,166708
3b_cmod_8L_rand_s5,True,True,3,8,complex_modulus,,0.0,25000,,,,83.93,,25409487,354304
3b_cmod_8L_s5,False,False,3,8,complex_modulus,,0.0,25000,69.64,81.6,11.96,,1.97,25409487,354304
3b_cmod_8L_s5_l2,False,False,3,8,complex_modulus,,0.005,25000,69.91,81.57,11.66,,0.3546,25409487,354304
3b_cmod_4L_rand_s10,True,True,3,4,complex_modulus,,0.0,50000,,,,85.81,,1318287,60760
3b_cmod_4L_s10,False,False,3,4,complex_modulus,,0.0,50000,68.91,86.2,17.29,,1.528,1318287,60760
3b_cmod_4L_s10_l2,False,False,3,4,complex_modulus,,0.005,50000,69.01,85.22,16.21,,0.5048,1318287,60760
3b_cmod_6L_rand_s10,True,True,3,6,complex_modulus,,0.0,50000,,,,86.99,,7169187,166708
3b_cmod_6L_s10,False,False,3,6,complex_modulus,,0.0,50000,70.69,85.85,15.16,,2.1623,7169187,166708
3b_cmod_6L_s10_l2,False,False,3,6,complex_modulus,,0.005,50000,70.66,85.02,14.36,,0.3819,7169187,166708
3b_cmod_8L_rand_s10,True,True,3,8,complex_modulus,,0.0,50000,,,,87.58,,25409487,354304
3b_cmod_8L_s10,False,False,3,8,complex_modulus,,0.0,50000,71.48,86.01,14.53,,2.8645,25409487,354304
3b_cmod_8L_s10_l2,False,False,3,8,complex_modulus,,0.005,50000,71.01,84.68,13.67,,0.3303,25409487,354304
3b_prelu_4L_rand_s1,True,True,3,4,phase_relu,,0.0,5000,,,,65.85,,1319775,60760
3b_prelu_4L_s1,False,False,3,4,phase_relu,,0.0,5000,62.19,73.41,11.22,,0.1015,1319775,60760
3b_prelu_4L_s1_l2,False,False,3,4,phase_relu,,0.005,5000,61.99,73.18,11.19,,0.0848,1319775,60760
3b_prelu_6L_rand_s1,True,True,3,6,phase_relu,,0.0,5000,,,,62.7,,7173291,166708
3b_prelu_6L_s1,False,False,3,6,phase_relu,,0.0,5000,63.12,73.67,10.55,,0.1084,7173291,166708
3b_prelu_6L_s1_l2,False,False,3,6,phase_relu,,0.005,5000,63.44,73.63,10.19,,0.075,7173291,166708
3b_prelu_8L_rand_s1,True,True,3,8,phase_relu,,0.0,5000,,,,59.09,,25418223,354304
3b_prelu_8L_s1,False,False,3,8,phase_relu,,0.0,5000,62.98,72.31,9.33,,0.1202,25418223,354304
3b_prelu_8L_s1_l2,False,False,3,8,phase_relu,,0.005,5000,63.17,73.25,10.08,,0.0708,25418223,354304
3b_prelu_4L_rand_s3,True,True,3,4,phase_relu,,0.0,15000,,,,77.65,,1319775,60760
3b_prelu_4L_s3,False,False,3,4,phase_relu,,0.0,15000,65.66,80.07,14.41,,0.1852,1319775,60760
3b_prelu_4L_s3_l2,False,False,3,4,phase_relu,,0.005,15000,65.63,79.74,14.11,,0.1171,1319775,60760
3b_prelu_6L_rand_s3,True,True,3,6,phase_relu,,0.0,15000,,,,78.32,,7173291,166708
3b_prelu_6L_s3,False,False,3,6,phase_relu,,0.0,15000,67.51,78.6,11.09,,0.2192,7173291,166708
3b_prelu_6L_s3_l2,False,False,3,6,phase_relu,,0.005,15000,67.09,79.58,12.49,,0.0811,7173291,166708
3b_prelu_8L_rand_s3,True,True,3,8,phase_relu,,0.0,15000,,,,77.26,,25418223,354304
3b_prelu_8L_s3,False,False,3,8,phase_relu,,0.0,15000,67.57,77.72,10.15,,0.2509,25418223,354304
3b_prelu_8L_s3_l2,False,False,3,8,phase_relu,,0.005,15000,67.73,79.73,12.0,,0.0695,25418223,354304
3b_prelu_4L_rand_s5,True,True,3,4,phase_relu,,0.0,25000,,,,80.8,,1319775,60760
3b_prelu_4L_s5,False,False,3,4,phase_relu,,0.0,25000,66.92,81.95,15.03,,0.2483,1319775,60760
3b_prelu_4L_s5_l2,False,False,3,4,phase_relu,,0.005,25000,67.13,81.65,14.52,,0.1174,1319775,60760
3b_prelu_6L_rand_s5,True,True,3,6,phase_relu,,0.0,25000,,,,81.76,,7173291,166708
3b_prelu_6L_s5,False,False,3,6,phase_relu,,0.0,25000,68.54,81.16,12.62,,0.2922,7173291,166708
3b_prelu_6L_s5_l2,False,False,3,6,phase_relu,,0.005,25000,68.55,81.63,13.08,,0.0794,7173291,166708
3b_prelu_8L_rand_s5,True,True,3,8,phase_relu,,0.0,25000,,,,82.54,,25418223,354304
3b_prelu_8L_s5,False,False,3,8,phase_relu,,0.0,25000,69.25,81.05,11.8,,0.36,25418223,354304
3b_prelu_8L_s5_l2,False,False,3,8,phase_relu,,0.005,25000,69.23,81.82,12.59,,0.0659,25418223,354304
3b_prelu_4L_rand_s10,True,True,3,4,phase_relu,,0.0,50000,,,,84.64,,1319775,60760
3b_prelu_4L_s10,False,False,3,4,phase_relu,,0.0,50000,68.21,84.9,16.69,,0.3777,1319775,60760
3b_prelu_4L_s10_l2,False,False,3,4,phase_relu,,0.005,50000,68.59,84.45,15.86,,0.1245,1319775,60760
3b_prelu_6L_rand_s10,True,True,3,6,phase_relu,,0.0,50000,,,,86.31,,7173291,166708
3b_prelu_6L_s10,False,False,3,6,phase_relu,,0.0,50000,70.02,84.36,14.34,,0.4541,7173291,166708
3b_prelu_6L_s10_l2,False,False,3,6,phase_relu,,0.005,50000,69.73,84.01,14.28,,0.0801,7173291,166708
3b_prelu_8L_rand_s10,True,True,3,8,phase_relu,,0.0,50000,,,,86.38,,25418223,354304
3b_prelu_8L_s10,False,False,3,8,phase_relu,,0.0,50000,70.36,84.13,13.77,,0.544,25418223,354304
3b_prelu_8L_s10_l2,False,False,3,8,phase_relu,,0.005,50000,70.99,84.06,13.07,,0.0607,25418223,354304
4b_cmod_4L_h243_rand_s1,True,True,4,4,complex_modulus,243.0,0.0,5000,,,,68.18,,4833916,15760
4b_cmod_4L_h243_s1,False,False,4,4,complex_modulus,243.0,0.0,5000,54.03,73.06,19.03,,0.5239,4833916,15760
4b_cmod_4L_h243_s1_l2,False,False,4,4,complex_modulus,243.0,0.005,5000,53.64,73.38,19.74,,0.38,4833916,15760
4b_cmod_4L_h27_rand_s1,True,True,4,4,complex_modulus,27.0,0.0,5000,,,,67.23,,2021416,15760
4b_cmod_4L_h27_s1,False,False,4,4,complex_modulus,27.0,0.0,5000,53.49,73.52,20.03,,0.3865,2021416,15760
4b_cmod_4L_h27_s1_l2,False,False,4,4,complex_modulus,27.0,0.005,5000,53.68,73.35,19.67,,0.3114,2021416,15760
4b_cmod_6L_h243_rand_s1,True,True,4,6,complex_modulus,243.0,0.0,5000,,,,67.55,,15992866,43228
4b_cmod_6L_h243_s1,False,False,4,6,complex_modulus,243.0,0.0,5000,57.38,74.18,16.8,,0.4414,15992866,43228
4b_cmod_6L_h243_s1_l2,False,False,4,6,complex_modulus,243.0,0.005,5000,57.23,74.67,17.44,,0.2961,15992866,43228
4b_cmod_6L_h27_rand_s1,True,True,4,6,complex_modulus,27.0,0.0,5000,,,,68.46,,3747766,43228
4b_cmod_6L_h27_s1,False,False,4,6,complex_modulus,27.0,0.0,5000,57.04,74.31,17.27,,0.2975,3747766,43228
4b_cmod_6L_h27_s1_l2,False,False,4,6,complex_modulus,27.0,0.005,5000,57.29,74.12,16.83,,0.222,3747766,43228
4b_cmod_8L_h243_rand_s1,True,True,4,8,complex_modulus,243.0,0.0,5000,,,,65.91,,38695516,91864
4b_cmod_8L_h243_s1,False,False,4,8,complex_modulus,243.0,0.0,5000,58.88,73.81,14.93,,0.4223,38695516,91864
4b_cmod_8L_h243_s1_l2,False,False,4,8,complex_modulus,243.0,0.005,5000,58.67,74.16,15.49,,0.2339,38695516,91864
4b_cmod_8L_h27_rand_s1,True,True,4,8,complex_modulus,27.0,0.0,5000,,,,67.91,,4578316,91864
4b_cmod_8L_h27_s1,False,False,4,8,complex_modulus,27.0,0.0,5000,59.28,73.83,14.55,,0.2316,4578316,91864
4b_cmod_8L_h27_s1_l2,False,False,4,8,complex_modulus,27.0,0.005,5000,58.4,72.86,14.46,,0.1527,4578316,91864
4b_cmod_4L_h243_rand_s3,True,True,4,4,complex_modulus,243.0,0.0,15000,,,,78.56,,4833916,15760
4b_cmod_4L_h243_s3,False,False,4,4,complex_modulus,243.0,0.0,15000,58.49,80.31,21.82,,0.9018,4833916,15760
4b_cmod_4L_h243_s3_l2,False,False,4,4,complex_modulus,243.0,0.005,15000,58.42,80.0,21.58,,0.4521,4833916,15760
4b_cmod_4L_h27_rand_s3,True,True,4,4,complex_modulus,27.0,0.0,15000,,,,77.96,,2021416,15760
4b_cmod_4L_h27_s3,False,False,4,4,complex_modulus,27.0,0.0,15000,58.61,80.76,22.15,,0.662,2021416,15760
4b_cmod_4L_h27_s3_l2,False,False,4,4,complex_modulus,27.0,0.005,15000,58.64,80.54,21.9,,0.4124,2021416,15760
4b_cmod_6L_h243_rand_s3,True,True,4,6,complex_modulus,243.0,0.0,15000,,,,79.72,,15992866,43228
4b_cmod_6L_h243_s3,False,False,4,6,complex_modulus,243.0,0.0,15000,61.52,81.19,19.67,,0.8223,15992866,43228
4b_cmod_6L_h243_s3_l2,False,False,4,6,complex_modulus,243.0,0.005,15000,61.44,80.76,19.32,,0.3296,15992866,43228
4b_cmod_6L_h27_rand_s3,True,True,4,6,complex_modulus,27.0,0.0,15000,,,,80.21,,3747766,43228
4b_cmod_6L_h27_s3,False,False,4,6,complex_modulus,27.0,0.0,15000,61.5,81.48,19.98,,0.5197,3747766,43228
4b_cmod_6L_h27_s3_l2,False,False,4,6,complex_modulus,27.0,0.005,15000,61.35,80.93,19.58,,0.2779,3747766,43228
4b_cmod_8L_h243_rand_s3,True,True,4,8,complex_modulus,243.0,0.0,15000,,,,80.2,,38695516,91864
4b_cmod_8L_h243_s3,False,False,4,8,complex_modulus,243.0,0.0,15000,62.97,80.51,17.54,,0.9417,38695516,91864
4b_cmod_8L_h243_s3_l2,False,False,4,8,complex_modulus,243.0,0.005,15000,63.12,69.39,6.27,,0.2769,38695516,91864
4b_cmod_8L_h27_rand_s3,True,True,4,8,complex_modulus,27.0,0.0,15000,,,,79.24,,4578316,91864
4b_cmod_8L_h27_s3,False,False,4,8,complex_modulus,27.0,0.0,15000,63.09,81.35,18.26,,0.3982,4578316,91864
4b_cmod_8L_h27_s3_l2,False,False,4,8,complex_modulus,27.0,0.005,15000,62.82,80.81,17.99,,0.1951,4578316,91864
4b_cmod_4L_h243_rand_s5,True,True,4,4,complex_modulus,243.0,0.0,25000,,,,81.46,,4833916,15760
4b_cmod_4L_h243_s5,False,False,4,4,complex_modulus,243.0,0.0,25000,60.07,82.76,22.69,,1.2168,4833916,15760
4b_cmod_4L_h243_s5_l2,False,False,4,4,complex_modulus,243.0,0.005,25000,60.07,77.55,17.48,,0.4612,4833916,15760
4b_cmod_4L_h27_rand_s5,True,True,4,4,complex_modulus,27.0,0.0,25000,,,,81.05,,2021416,15760
4b_cmod_4L_h27_s5,False,False,4,4,complex_modulus,27.0,0.0,25000,60.18,83.36,23.18,,0.8574,2021416,15760
4b_cmod_4L_h27_s5_l2,False,False,4,4,complex_modulus,27.0,0.005,25000,60.31,82.55,22.24,,0.4326,2021416,15760
4b_cmod_6L_h243_rand_s5,True,True,4,6,complex_modulus,243.0,0.0,25000,,,,83.07,,15992866,43228
4b_cmod_6L_h243_s5,False,False,4,6,complex_modulus,243.0,0.0,25000,62.87,84.01,21.14,,1.1405,15992866,43228
4b_cmod_6L_h243_s5_l2,False,False,4,6,complex_modulus,243.0,0.005,25000,62.92,75.4,12.48,,0.3614,15992866,43228
4b_cmod_6L_h27_rand_s5,True,True,4,6,complex_modulus,27.0,0.0,25000,,,,82.17,,3747766,43228
4b_cmod_6L_h27_s5,False,False,4,6,complex_modulus,27.0,0.0,25000,63.0,83.72,20.72,,0.6898,3747766,43228
4b_cmod_6L_h27_s5_l2,False,False,4,6,complex_modulus,27.0,0.005,25000,63.09,83.19,20.1,,0.2909,3747766,43228
4b_cmod_8L_h243_rand_s5,True,True,4,8,complex_modulus,243.0,0.0,25000,,,,83.78,,38695516,91864
4b_cmod_8L_h243_s5,False,False,4,8,complex_modulus,243.0,0.0,25000,64.16,83.65,19.49,,1.2485,38695516,91864
4b_cmod_8L_h243_s5_l2,False,False,4,8,complex_modulus,243.0,0.005,25000,64.1,83.32,19.22,,0.253,38695516,91864
4b_cmod_8L_h27_rand_s5,True,True,4,8,complex_modulus,27.0,0.0,25000,,,,83.12,,4578316,91864
4b_cmod_8L_h27_s5,False,False,4,8,complex_modulus,27.0,0.0,25000,64.05,83.74,19.69,,0.5277,4578316,91864
4b_cmod_8L_h27_s5_l2,False,False,4,8,complex_modulus,27.0,0.005,25000,64.32,82.5,18.18,,0.204,4578316,91864
4b_cmod_4L_h243_rand_s10,True,True,4,4,complex_modulus,243.0,0.0,50000,,,,85.51,,4833916,15760
4b_cmod_4L_h243_s10,False,False,4,4,complex_modulus,243.0,0.0,50000,61.62,86.13,24.51,,1.9067,4833916,15760
4b_cmod_4L_h243_s10_l2,False,False,4,4,complex_modulus,243.0,0.005,50000,61.8,85.58,23.78,,0.4677,4833916,15760
4b_cmod_4L_h27_rand_s10,True,True,4,4,complex_modulus,27.0,0.0,50000,,,,85.22,,2021416,15760
4b_cmod_4L_h27_s10,False,False,4,4,complex_modulus,27.0,0.0,50000,61.79,86.41,24.62,,1.2917,2021416,15760
4b_cmod_4L_h27_s10_l2,False,False,4,4,complex_modulus,27.0,0.005,50000,61.59,85.74,24.15,,0.4359,2021416,15760
4b_cmod_6L_h243_rand_s10,True,True,4,6,complex_modulus,243.0,0.0,50000,,,,86.33,,15992866,43228
4b_cmod_6L_h243_s10,False,False,4,6,complex_modulus,243.0,0.0,50000,64.63,86.69,22.06,,1.9609,15992866,43228
4b_cmod_6L_h243_s10_l2,False,False,4,6,complex_modulus,243.0,0.005,50000,64.69,86.54,21.85,,0.3349,15992866,43228
4b_cmod_6L_h27_rand_s10,True,True,4,6,complex_modulus,27.0,0.0,50000,,,,85.69,,3747766,43228
4b_cmod_6L_h27_s10,False,False,4,6,complex_modulus,27.0,0.0,50000,64.51,86.68,22.17,,1.0529,3747766,43228
4b_cmod_6L_h27_s10_l2,False,False,4,6,complex_modulus,27.0,0.005,50000,64.47,86.18,21.71,,0.292,3747766,43228
4b_cmod_8L_h243_rand_s10,True,True,4,8,complex_modulus,243.0,0.0,50000,,,,88.08,,38695516,91864
4b_cmod_8L_h243_s10,False,False,4,8,complex_modulus,243.0,0.0,50000,65.55,87.22,21.67,,2.2316,38695516,91864
4b_cmod_8L_h243_s10_l2,False,False,4,8,complex_modulus,243.0,0.005,50000,65.44,85.97,20.53,,0.2528,38695516,91864
4b_cmod_8L_h27_rand_s10,True,True,4,8,complex_modulus,27.0,0.0,50000,,,,87.0,,4578316,91864
4b_cmod_8L_h27_s10,False,False,4,8,complex_modulus,27.0,0.0,50000,65.38,86.55,21.17,,0.7809,4578316,91864
4b_cmod_8L_h27_s10_l2,False,False,4,8,complex_modulus,27.0,0.005,50000,65.62,85.1,19.48,,0.2051,4578316,91864
4b_prelu_4L_h243_rand_s1,True,True,4,4,phase_relu,243.0,0.0,5000,,,,66.57,,4835404,15760
4b_prelu_4L_h243_s1,False,False,4,4,phase_relu,243.0,0.0,5000,52.62,72.97,20.35,,0.1732,4835404,15760
4b_prelu_4L_h243_s1_l2,False,False,4,4,phase_relu,243.0,0.005,5000,52.89,72.62,19.73,,0.1286,4835404,15760
4b_prelu_4L_h27_rand_s1,True,True,4,4,phase_relu,27.0,0.0,5000,,,,64.78,,2022904,15760
4b_prelu_4L_h27_s1,False,False,4,4,phase_relu,27.0,0.0,5000,52.82,73.4,20.58,,0.1311,2022904,15760
4b_prelu_4L_h27_s1_l2,False,False,4,4,phase_relu,27.0,0.005,5000,53.02,73.14,20.12,,0.1078,2022904,15760
4b_prelu_6L_h243_rand_s1,True,True,4,6,phase_relu,243.0,0.0,5000,,,,66.52,,15996970,43228
4b_prelu_6L_h243_s1,False,False,4,6,phase_relu,243.0,0.0,5000,55.89,74.16,18.27,,0.1446,15996970,43228
4b_prelu_6L_h243_s1_l2,False,False,4,6,phase_relu,243.0,0.005,5000,56.42,73.74,17.32,,0.0929,15996970,43228
4b_prelu_6L_h27_rand_s1,True,True,4,6,phase_relu,27.0,0.0,5000,,,,66.62,,3751870,43228
4b_prelu_6L_h27_s1,False,False,4,6,phase_relu,27.0,0.0,5000,56.04,73.98,17.94,,0.09,3751870,43228
4b_prelu_6L_h27_s1_l2,False,False,4,6,phase_relu,27.0,0.005,5000,55.82,73.98,18.16,,0.0688,3751870,43228
4b_prelu_8L_h243_rand_s1,True,True,4,8,phase_relu,243.0,0.0,5000,,,,60.41,,38704252,91864
4b_prelu_8L_h243_s1,False,False,4,8,phase_relu,243.0,0.0,5000,58.18,73.62,15.44,,0.1251,38704252,91864
4b_prelu_8L_h243_s1_l2,False,False,4,8,phase_relu,243.0,0.005,5000,57.62,73.85,16.23,,0.0701,38704252,91864
4b_prelu_8L_h27_rand_s1,True,True,4,8,phase_relu,27.0,0.0,5000,,,,67.98,,4587052,91864
4b_prelu_8L_h27_s1,False,False,4,8,phase_relu,27.0,0.0,5000,58.42,73.54,15.12,,0.0668,4587052,91864
4b_prelu_8L_h27_s1_l2,False,False,4,8,phase_relu,27.0,0.005,5000,58.39,73.34,14.95,,0.0463,4587052,91864
4b_prelu_4L_h243_rand_s3,True,True,4,4,phase_relu,243.0,0.0,15000,,,,77.69,,4835404,15760
4b_prelu_4L_h243_s3,False,False,4,4,phase_relu,243.0,0.0,15000,57.35,79.87,22.52,,0.31,4835404,15760
4b_prelu_4L_h243_s3_l2,False,False,4,4,phase_relu,243.0,0.005,15000,57.17,79.75,22.58,,0.1568,4835404,15760
4b_prelu_4L_h27_rand_s3,True,True,4,4,phase_relu,27.0,0.0,15000,,,,77.91,,2022904,15760
4b_prelu_4L_h27_s3,False,False,4,4,phase_relu,27.0,0.0,15000,57.91,80.43,22.52,,0.2265,2022904,15760
4b_prelu_4L_h27_s3_l2,False,False,4,4,phase_relu,27.0,0.005,15000,57.57,80.38,22.81,,0.1417,2022904,15760
4b_prelu_6L_h243_rand_s3,True,True,4,6,phase_relu,243.0,0.0,15000,,,,77.83,,15996970,43228
4b_prelu_6L_h243_s3,False,False,4,6,phase_relu,243.0,0.0,15000,60.7,81.23,20.53,,0.2576,15996970,43228
4b_prelu_6L_h243_s3_l2,False,False,4,6,phase_relu,243.0,0.005,15000,60.56,80.19,19.63,,0.1045,15996970,43228
4b_prelu_6L_h27_rand_s3,True,True,4,6,phase_relu,27.0,0.0,15000,,,,79.04,,3751870,43228
4b_prelu_6L_h27_s3,False,False,4,6,phase_relu,27.0,0.0,15000,60.74,80.68,19.94,,0.1592,3751870,43228
4b_prelu_6L_h27_s3_l2,False,False,4,6,phase_relu,27.0,0.005,15000,60.52,80.4,19.88,,0.0871,3751870,43228
4b_prelu_8L_h243_rand_s3,True,True,4,8,phase_relu,243.0,0.0,15000,,,,77.41,,38704252,91864
4b_prelu_8L_h243_s3,False,False,4,8,phase_relu,243.0,0.0,15000,62.21,80.57,18.36,,0.2512,38704252,91864
4b_prelu_8L_h243_s3_l2,False,False,4,8,phase_relu,243.0,0.005,15000,62.11,79.57,17.46,,0.081,38704252,91864
4b_prelu_8L_h27_rand_s3,True,True,4,8,phase_relu,27.0,0.0,15000,,,,78.71,,4587052,91864
4b_prelu_8L_h27_s3,False,False,4,8,phase_relu,27.0,0.0,15000,62.08,80.86,18.78,,0.1145,4587052,91864
4b_prelu_8L_h27_s3_l2,False,False,4,8,phase_relu,27.0,0.005,15000,62.29,80.2,17.91,,0.057,4587052,91864
4b_prelu_4L_h243_rand_s5,True,True,4,4,phase_relu,243.0,0.0,25000,,,,80.84,,4835404,15760
4b_prelu_4L_h243_s5,False,False,4,4,phase_relu,243.0,0.0,25000,58.92,81.92,23.0,,0.4183,4835404,15760
4b_prelu_4L_h243_s5_l2,False,False,4,4,phase_relu,243.0,0.005,25000,58.99,82.51,23.52,,0.1612,4835404,15760
4b_prelu_4L_h27_rand_s5,True,True,4,4,phase_relu,27.0,0.0,25000,,,,81.06,,2022904,15760
4b_prelu_4L_h27_s5,False,False,4,4,phase_relu,27.0,0.0,25000,59.15,82.67,23.52,,0.3009,2022904,15760
4b_prelu_4L_h27_s5_l2,False,False,4,4,phase_relu,27.0,0.005,25000,58.93,82.27,23.34,,0.151,2022904,15760
4b_prelu_6L_h243_rand_s5,True,True,4,6,phase_relu,243.0,0.0,25000,,,,82.1,,15996970,43228
4b_prelu_6L_h243_s5,False,False,4,6,phase_relu,243.0,0.0,25000,61.83,83.66,21.83,,0.3734,15996970,43228
4b_prelu_6L_h243_s5_l2,False,False,4,6,phase_relu,243.0,0.005,25000,62.0,83.31,21.31,,0.1056,15996970,43228
4b_prelu_6L_h27_rand_s5,True,True,4,6,phase_relu,27.0,0.0,25000,,,,82.16,,3751870,43228
4b_prelu_6L_h27_s5,False,False,4,6,phase_relu,27.0,0.0,25000,61.86,82.94,21.08,,0.2116,3751870,43228
4b_prelu_6L_h27_s5_l2,False,False,4,6,phase_relu,27.0,0.005,25000,61.95,82.49,20.54,,0.0914,3751870,43228
4b_prelu_8L_h243_rand_s5,True,True,4,8,phase_relu,243.0,0.0,25000,,,,83.31,,38704252,91864
4b_prelu_8L_h243_s5,False,False,4,8,phase_relu,243.0,0.0,25000,63.28,83.83,20.55,,0.3796,38704252,91864
4b_prelu_8L_h243_s5_l2,False,False,4,8,phase_relu,243.0,0.005,25000,63.25,82.55,19.3,,0.0751,38704252,91864
4b_prelu_8L_h27_rand_s5,True,True,4,8,phase_relu,27.0,0.0,25000,,,,82.59,,4587052,91864
4b_prelu_8L_h27_s5,False,False,4,8,phase_relu,27.0,0.0,25000,63.23,82.93,19.7,,0.1537,4587052,91864
4b_prelu_8L_h27_s5_l2,False,False,4,8,phase_relu,27.0,0.005,25000,63.45,82.07,18.62,,0.06,4587052,91864
4b_prelu_4L_h243_rand_s10,True,True,4,4,phase_relu,243.0,0.0,50000,,,,85.19,,4835404,15760
4b_prelu_4L_h243_s10,False,False,4,4,phase_relu,243.0,0.0,50000,60.75,85.28,24.53,,0.6592,4835404,15760
4b_prelu_4L_h243_s10_l2,False,False,4,4,phase_relu,243.0,0.005,50000,60.44,77.4,16.96,,0.1807,4835404,15760
4b_prelu_4L_h27_rand_s10,True,True,4,4,phase_relu,27.0,0.0,50000,,,,84.29,,2022904,15760
4b_prelu_4L_h27_s10,False,False,4,4,phase_relu,27.0,0.0,50000,60.47,85.69,25.22,,0.4505,2022904,15760
4b_prelu_4L_h27_s10_l2,False,False,4,4,phase_relu,27.0,0.005,50000,60.63,84.81,24.18,,0.1501,2022904,15760
4b_prelu_6L_h243_rand_s10,True,True,4,6,phase_relu,243.0,0.0,50000,,,,86.25,,15996970,43228
4b_prelu_6L_h243_s10,False,False,4,6,phase_relu,243.0,0.0,50000,63.76,86.29,22.53,,0.6117,15996970,43228
4b_prelu_6L_h243_s10_l2,False,False,4,6,phase_relu,243.0,0.005,50000,63.84,85.63,21.79,,0.1042,15996970,43228
4b_prelu_6L_h27_rand_s10,True,True,4,6,phase_relu,27.0,0.0,50000,,,,85.94,,3751870,43228
4b_prelu_6L_h27_s10,False,False,4,6,phase_relu,27.0,0.0,50000,63.88,86.11,22.23,,0.3269,3751870,43228
4b_prelu_6L_h27_s10_l2,False,False,4,6,phase_relu,27.0,0.005,50000,63.71,85.37,21.66,,0.0919,3751870,43228
4b_prelu_8L_h243_rand_s10,True,True,4,8,phase_relu,243.0,0.0,50000,,,,87.08,,38704252,91864
4b_prelu_8L_h243_s10,False,False,4,8,phase_relu,243.0,0.0,50000,64.65,86.52,21.87,,0.6623,38704252,91864
4b_prelu_8L_h243_s10_l2,False,False,4,8,phase_relu,243.0,0.005,50000,64.74,84.69,19.95,,0.0795,38704252,91864
4b_prelu_8L_h27_rand_s10,True,True,4,8,phase_relu,27.0,0.0,50000,,,,86.48,,4587052,91864
4b_prelu_8L_h27_s10,False,False,4,8,phase_relu,27.0,0.0,50000,64.69,86.29,21.6,,0.2404,4587052,91864
4b_prelu_8L_h27_s10_l2,False,False,4,8,phase_relu,27.0,0.005,50000,64.59,84.49,19.9,,0.0602,4587052,91864
